一	nhất
宿	túc|tú
寀	thái
寂	tịch
寃	oan
寄	kí
寅	dần
密	mật
寇	khấu
富	phú
寐	mị
寒	hàn
寓	ngụ
寔	thật
寖	tẩm
寘	trí
寝	tẩm
寞	mịch
察	sát
寡	quả
寢	tẩm
寤	ngụ
寥	liêu
實	thật
寧	ninh
寨	trại
審	thẩm
寫	tả
寬	khoan
寮	liêu
寯	tuấn
寰	hoàn
寳	bảo
寵	sủng
寶	bảo
寸	thốn
对	đối
寺	tự
寻	tầm
导	đạo
対	đối
寿	thọ
封	phong
専	chuyên
射	xạ|dạ|dịch
尅	khắc
将	tương|thương|tướng
將	tương|thương|tướng
尉	úy|uất
尊	tôn
尋	tầm
對	đối
導	đạo
小	tiểu
少	thiểu|thiếu
尒	nhĩ
尔	nhĩ
尖	tiêm
尘	trần
尙	thượng
尝	thường
尟	tiển
尢	uông
尤	vưu
尧	nghiêu
尨	mang|mông
尪	uông
尫	uông
尬	giới
就	tựu
尲	dam
尸	thi
尹	duẫn
尺	xích
尻	khào|cừu
尼	ni|nệ|nặc|nật
尽	tận|tẫn
尾	vĩ
尿	niệu
局	cục
屁	thí
层	tằng
居	cư|kí
屆	giới
屈	khuất|quật
屉	thế
届	giới
屋	ốc
屍	thi
屎	thỉ|hi
屏	bình
屐	kịch
屑	tiết
展	triển
屙	a
屛	bình|bính
屜	thế
屝	phỉ
属	chúc|thuộc|chú
屠	đồ|chư
屡	lũ
屢	lũ
屣	tỉ|xí
層	tằng
履	lý
屦	lũ
屧	tiệp
屨	lũ
屩	cược
屬	chúc|thuộc|chú
屭	hí
屮	triệt
屯	truân|đồn
山	san|sơn
屹	ngật
屺	dĩ
屿	tự
岁	tuế
岂	khởi|khải
岌	ngập
岐	kì
岑	sầm
岔	xóa
岖	khu
岗	cương
岘	hiện
岚	lam
岛	đảo
岡	cương
岢	khả
岣	cẩu|cu
岧	thiều
岩	nham
岫	tụ
岬	giáp
岭	lĩnh
岱	đại
岳	nhạc
岵	hỗ
岷	dân|mân
岸	ngạn
岿	vị|khuy
峄	dịch
峋	tuân
峒	đồng
峙	trĩ
峝	đỗng
峡	hạp|giáp
峤	kiệu|kiêu
峥	tranh
峦	loan
峨	nga
峪	dục
峭	tiễu
峯	phong
峴	hiện
島	đảo
峻	tuấn
峽	hạp|giáp
崆	không
崇	sùng
崋	hoa
崎	khi
崑	côn
崔	thôi
崖	nhai
崗	cương
崙	lôn
崚	lăng
崛	quật
崞	quách
崢	tranh
崤	hào
崦	yêm
崧	tung
崩	băng
崭	tiệm
崴	uy
崽	tể
嵆	kê
嵋	mi
嵌	khảm
嵎	ngu|ngung
嵏	tông
嵐	lam
嵒	nham
嵘	vanh
嵩	tung
嵫	tư
嵬	ngôi
嵯	tha
嶂	chướng
嶄	tiệm
嶇	khu
嶍	tập
嶒	tằng
嶓	ba
嶙	lân
嶠	kiệu|kiêu
嶧	dịch
嶰	giải
嶷	nghi|ngực
嶸	vanh
嶺	lĩnh
嶼	tự
嶽	nhạc
巇	hi
巉	sàm
巋	vị|khuy
巍	nguy
巒	loan
巓	điên
巖	nham
川	xuyên
州	châu
巡	tuần
巢	sào
工	công
左	tả|tá
巧	xảo
巨	cự|há
巩	củng
巫	vu
差	soa|si|sai|sái
己	kỷ
已	dĩ
巳	tị
巴	ba
巵	chi
巷	hạng
巽	tốn
巾	cân
帀	táp
币	tệ
市	thị
布	bố
帅	suất|súy
帆	phàm|phâm
师	sư
希	hy
帏	vi
帐	trướng
